home_team,away_team,season,stage,date,home_team_goal,away_team_goal,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11
BAR,AMA,2008/2009,6,10/4/08 0:00,6,1,32657,30661,37482,30740,30738,154257,39854,33074,30981,33639,30955,39989,33636,30839,30689,32656,33632,33871,25924,30832,37412,38700
VIL,BET,2008/2009,6,10/4/08 0:00,2,1,41466,33733,38458,56678,30279,37436,30958,38746,38362,38699,38551,46531,31303,33655,30750,37426,42173,33665,37422,25571,34233,22234
REA,ESP,2008/2009,6,10/5/08 0:00,2,2,30657,30962,25921,34520,30670,25759,,37259,30840,34602,30655,25563,28439,33768,38385,75196,18592,24099,24852,32766,37429,32764
COR,NUM,2008/2009,6,10/5/08 0:00,1,0,33018,33756,37451,70891,41167,37449,30271,37447,38573,31045,31010,75195,75199,,38561,74435,38008,102374,,38550,74721,38526
OSA,SAN,2008/2009,6,10/5/08 0:00,0,1,24591,72541,11778,33865,72542,33870,42369,38424,30744,30907,96615,37579,33896,37581,80497,33828,33634,33884,32999,150647,150644,33892
MAL,SPG,2008/2009,6,10/5/08 0:00,0,2,33845,24131,30276,33849,33861,37491,37411,38160,38398,25574,33028,33630,74743,75608,33895,74752,33887,33611,97334,38004,24383,34582
GET,ALM,2008/2009,6,10/5/08 0:00,2,2,75390,37470,37427,32675,37468,52490,30468,37471,41156,37469,37474,96613,74403,74663,18501,37622,37419,5243,75239,38581,46384,75310
VAL,VAL,2008/2009,6,10/5/08 0:00,0,1,96623,37597,43374,33022,2790,33820,33586,75192,38471,33729,25551,19435,34007,,37479,34008,37824,30666,38701,41468,,30909
SEV,BIL,2008/2009,6,10/5/08 0:00,4,0,33986,39562,33812,33990,33848,34000,31014,33991,30443,38139,33989,33764,33025,33993,37604,154938,33866,37410,30287,37408,30277,33030
HUE,MAL,2008/2009,6,10/5/08 0:00,0,4,33958,37434,42310,37440,37423,75474,74747,38035,,102572,18628,33826,33843,25913,41707,38479,102612,33666,11758,43310,37450,45744
AMA,REA,2008/2009,7,10/18/08 0:00,1,2,30664,33636,30839,30689,34103,38492,25924,33871,108568,37412,38460,30657,30962,25921,34520,28467,,18814,30878,25759,34602,30655
ESP,VIL,2008/2009,7,10/18/08 0:00,0,0,25563,28439,33768,38385,75196,18592,24099,24852,32766,37429,32764,41466,30279,38458,56678,40599,37480,30958,42479,37478,38699,38551
BET,MAL,2008/2009,7,10/19/08 0:00,3,0,46531,31303,30750,33655,37426,42173,33665,37422,25571,38578,18164,33845,24131,30276,33849,33861,38160,31498,37491,37411,56686,25574
SPG,OSA,2008/2009,7,10/19/08 0:00,2,1,33630,74743,75608,33895,74752,33887,33611,97334,38004,24383,34582,24591,72541,11778,33865,72542,38424,33870,42369,33641,108809,37497
SAN,COR,2008/2009,7,10/19/08 0:00,0,0,37579,33896,37581,33828,80497,33634,33637,32999,33892,33891,150644,33018,33756,37451,70891,41167,33758,30271,37447,37449,38573,34956
